PoleID,kW,Type,Phase
JPN8,10,1ph,B
JPN7C1,5,1ph,C
JPN5-1A,5,1ph,C
JPN8,5,1ph,C
JPN7F,10,1ph,B
JPN5-1A,5,1ph,B
EN92-1,5,1ph,A
EN93,5,1ph,A
EN92-2,15,3ph,ABC
JPN3,5,1ph,A
JPN2B,40,3ph,ABC
JPN7J,5,1ph,B
EN94-1,10,1ph,A
JPN7J,5,1ph,B
JPN7B,15,3ph,ABC
JPN7C1,5,1ph,C
JPN6,10,1ph,A
JPN7,10,1ph,C
JPN3-1,5,1ph,B
EN92,10,1ph,B
JPN2A,5,1ph,C
JPN3-2,15,3ph,ABC
JPN7A,10,1ph,B
JPN3-1,5,1ph,A
JPN3,15,3ph,ABC
EN94,5,1ph,C
EN92,15,3ph,ABC
JPN7B,10,1ph,B
JPN2,10,1ph,B
JPN8,15,3ph,ABC
EN95-2,10,1ph,A
JPN2,40,3ph,ABC
JPN3A,5,1ph,C
JPN7A-1,5,1ph,A
JPN3-1,20,3ph,ABC
EN94,15,3ph,ABC
JPN1,10,1ph,C
JPN3-2,10,1ph,A
JPN7,10,1ph,B
JPN7B,15,3ph,ABC
EN94,5,1ph,B
EN92,15,3ph,ABC
JPN3A,15,3ph,ABC
JPN7C1,10,1ph,C
EN92,10,1ph,C
JPN7,10,1ph,A
JPN7-1,5,1ph,B
JPN3,15,3ph,ABC
JPN7G,15,3ph,ABC
JPN6-1,5,1ph,C
EN92,5,1ph,B
JPN3-1,5,1ph,C
JPN7E,5,1ph,A
JPN7D,15,3ph,ABC
JPN6-1,10,1ph,B
JPN7,5,1ph,C
JPN5-1,5,1ph,A
EN95-4,5,1ph,A
JPN4,10,1ph,B
JPN7,5,1ph,C
JPN2A,10,1ph,B
JPN7E,10,1ph,C
EN95,15,3ph,ABC
JPN7A-1,10,1ph,A
EN95-4,5,1ph,B
JPN7B,10,1ph,A
JPN2D,5,1ph,C
JPN7C1,10,1ph,C
JPN2A,5,1ph,C
EN95-1,10,1ph,A
JPN7B,15,3ph,ABC
JPN1,10,1ph,C
JPN7A-1,15,3ph,ABC
JPN7A-1,10,1ph,A
EN95-2,10,1ph,B
EN95-1,5,1ph,B
EN95-1,10,1ph,B
EN94,20,3ph,ABC
JPN2B,10,1ph,A
EN92-1,15,3ph,ABC
EN93-1,10,1ph,B
JPN7,10,1ph,C
JPN7C,15,3ph,ABC
EN93,5,1ph,B
EN95-2,10,1ph,B
EN95-1,20,3ph,ABC
JPN7G,10,1ph,A
JPN7A,5,1ph,A
JPN4,15,3ph,ABC
JPN1,5,1ph,B
JPN7D,10,1ph,C
JPN2D,10,1ph,A
JPN7G,20,3ph,ABC
JPN7-1,10,1ph,B
JPN3-1,15,3ph,ABC
EN94,5,1ph,B
JPN8,40,3ph,ABC
EN94-1,5,1ph,B
EN95-1,5,1ph,A
JPN2D,20,3ph,ABC
JPN2C,5,1ph,B
EN94-1,15,3ph,ABC
JPN7A,15,3ph,ABC
EN95,10,1ph,A
JPN6-1,5,1ph,C
JPN7A-1,15,3ph,ABC
EN95-1,10,1ph,C
JPN5-1A,5,1ph,B
JPN7A-1,20,3ph,ABC
JPN6-1,15,3ph,ABC
JPN5-1A,10,1ph,B
JPN1,15,3ph,ABC
JPN7A,10,1ph,A
JPN7H,10,1ph,B
JPN2D,5,1ph,A
JPN7C,10,1ph,C
EN92-2,5,1ph,C
JPN7D,20,3ph,ABC
EN95,5,1ph,B
JPN2C,5,1ph,A
JPN1,5,1ph,B
EN93,5,1ph,C
JPN7G,10,1ph,C
JPN2B,10,1ph,B
JPN3A,15,3ph,ABC
